,2,3,4,5,6
0,of the,on social media,the spread of misinformation,of this study was to,aim of this study was to
1,in the,as well as,in this paper we,the aim of this study,the aim of this study was
2,social media,the spread of,in the context of,the purpose of this study,purpose of this study was to
3,to the,no abstract available,in the united states,the spread of misinformation and,the purpose of this study was
4,and the,of social media,misinformation on social media,in the context of the,all is the source for the
5,on the,of fake news,as well as the,of misinformation on social media,is the source for the terms
6,fake news,during the pandemic,the purpose of this,of this study is to,the source for the terms of
7,of misinformation,the use of,of this study was,the spread of fake news,source for the terms of this
8,the pandemic,social media platforms,this study was to,in this paper we propose,for the terms of this document
9,this study,spread of misinformation,were more likely to,of this paper is to,in this paper we propose a
10,misinformation and,the role of,the aim of this,aim of this study was,this record is sourced from a
11,in this,in this paper,on social media platforms,the use of social media,record is sourced from a database
12,as a,the impact of,is one of the,purpose of this study was,is sourced from a database of
13,with the,in order to,in this study we,is the source for the,sourced from a database of the
14,for the,the united states,the world health organization,all is the source for,from a database of the national
15,such as,one of the,one of the most,the source for the terms,a database of the national library
16,of information,of misinformation and,this study aimed to,source for the terms of,database of the national library of
17,to be,of the pandemic,this study aims to,for the terms of this,of the national library of medicine
18,public health,this paper we,in this work we,the terms of this document,objective of this study was to
19,on social,based on the,of fake news and,the role of social media,the objective of this study was
20,that the,of this study,use of social media,in this paper we present,purpose of this paper is to
21,based on,social media and,can be used to,the world health organization who,the purpose of this paper is
22,of a,the context of,on social media and,the objective of this study,spread of misinformation on social media
23,in a,fake news and,in this article we,health misinformation on social media,the spread of misinformation on social
24,is a,more likely to,aim of this study,there is a need to,the role of social media in
25,this paper,in the united,spread of misinformation and,fake news on social media,aim of this study is to
26,during the,fake news detection,the context of the,is one of the most,purpose of this study is to
27,about the,the importance of,information on social media,the spread of misinformation on,the aim of this study is
28,of this,a total of,results a total of,this paper we propose a,the purpose of this study is
29,from the,in the context,it is important to,objective of this study was,centers for disease control and prevention
30,by the,and social media,purpose of this study,this record is sourced from,objective the aim of this study
31,can be,the effects of,in the form of,record is sourced from a,to the best of our knowledge
32,it is,there is a,the extent to which,is sourced from a database,aim of this paper is to
33,spread of,misinformation on social,fake news and misinformation,sourced from a database of,in the context of the pandemic
34,and misinformation,in terms of,are more likely to,from a database of the,in this paper we present a
35,related to,the number of,spread of fake news,a database of the national,of fake news on social media
36,associated with,in social media,at the same time,database of the national library,men who have sex with men
